state,type,name,city,industries,categories,Address,x,y
Florida,Federal,FCI Miami,Miami,Clothing; textiles; recycling collection,"clothing,recycle","15801 S.W. 137TH AVENUE, MIAMI, FL  33177",-80.41443998,25.62001744
Florida,Federal,FCI Tallahassee,Tallahassee,Services,none,"501 CAPITAL CIRCLE NE, TALLAHASSEE, FL  32301",-84.22641857,30.44201061
Georgia,State,Autry State Prison,Pelham,Work boots; canvas shoes,clothing,"3178 Mt Zion Church Rd, Pelham, GA 31779",-84.14769958,31.13116417
Georgia,State,Central State Prison,Macon,T-shirts; undergarments,clothing,"4600 Fulton Mill Rd, Macon, GA 31208",-83.75524661,32.77870939
Georgia,State,Dodge State Prison,Chester,Furniture; residence hall items,furniture,"2971 OLD BETHEL CHURCH ROAD, CHESTER, GA 31012",-83.16841241,32.38711391
Georgia,State,Dooly State Prison,Unadilla,Fresh vegetable production,food,"1412 Plunket Rd, Unadilla, GA 31091",-83.71872781,32.28286953
Georgia,State,GCI Engraving Plant ,Decatur,Picture framing; engraving,metal,"2984 Clifton Springs Road, Decatur, GA 30034",-84.27371397,33.69091758
Georgia,State,GCI Food Distribution Unit,Milledgeville,Meat processing; food warehousing; vehicle maintenance; transportation,food,"112 Abattoir Rd Se, Milledgeville, GA 31061",-83.20185718,33.03148369
Georgia,State,Georgia State Prison,Reidsville,Road signs; traffic paint; office cubical systems; reclaim road signs,recycle,"300 1st Ave S, Reidsville, GA 30453",-82.16178856,31.99525445
Georgia,State,Hancock State Prison,Sparta,Uniforms; embroidery products; inmate clothing,clothing,"701 Prison Blvd, Sparta, GA 31087",-82.95069497,33.24266054
Georgia,State,Hays State Prison,Trion,Mattresses; pillows; eyeglasses,optical,"777 Underwood Dr, Trion, GA 30753",-85.31221939,34.51230887
Georgia,State,Joe Kennedy Farm,Lyons,Row crop production; beef cattle; grist meal,food,"955 Resmondo Rd , Lyons, GA 30436, 30436",-82.30283676,32.23011119
Georgia,State,Lee Arrendale State Prison,Alto,Beef cattle; swine,food,"2023 Gainesville Hwy, Alto, GA 30510",-83.59445295,34.449654
Georgia,State,Montgomery State Prison,Mt Vernon,Office chairs; sofas; office furniture; egg production,"food,furniture","650 E Alston Rd, Mt Vernon, GA 30445",-82.58623138,32.16911921
Georgia,State,Phillips State Prison,Buford,Printed products,none,"2989 W Rock Quarry Rd NE, Buford, GA 3051",-83.91407984,34.09387698
Georgia,State,Pulaski State Prison,Hawkinsville,Inmate clothing; staff personal protective gear,clothing,"373 Upper River Rd, Hawkinsville, GA 31036",-83.45271088,32.31227116
Georgia,State,Rogers State Prison,Reidsville,Dairy products; canned vegetables; fresh vegetables; beef cattle; row crops; swine production; equipment maintenance,food,"1978 Georgia 147, Reidsville, GA 30453",-82.1813361,32.00271104
Georgia,State,Smith State Prison,Glennville,Road signs; decals; screen printing,none,"9676 U.S. 301, Glennville, GA 30427",-81.91832895,31.97323758
Georgia,State,Valdosta State Prison,Valdosta,Industrial cleaners; personal hygiene products,none,"3259 VALTECH ROAD, VALDOSTA, GA 31601",-83.34296313,30.85822474
Georgia,State,Walker State Prison,Rock Spring,File cabinets; custom metal products; metal furniture,"furniture,metal","97 Kevin Ln, Rock Spring, GA 30739",-85.26295367,34.8103536
Georgia,State,Washington State Prison,Davisboro,Inmate clothing; bedding products,clothing,"13262 Georgia 24 Spur, Davisboro, GA 31018",-82.5972888,32.98618691
Georgia,Federal,FCI Jesup,Jesup,Clothing; textiles,clothing,"2600 HIGHWAY 301 SOUTH, JESUP, GA  31599",-81.88591975,31.60667088
Georgia,Federal,USP Atlanta,Atlanta,Clothing; textiles; recycling collection,"clothing,recycle","601 McDonough Blvd SE, Atlanta, GA 30315",-84.36820554,33.71369036
Hawaii,State,Halawa Correctional Facility ,Aiea,Printing; commissary; furniture; sewing; mattresses; warehouse; graphics; signs; engraving,"furniture,metal","99-902 Moanalua, Aiea, HI 96701",-157.9294672,21.37592629
Hawaii,State,Hawaii Community Correctional Center ,Hilo,Labor contracts,none,"60 Punahele St, Hilo, HI 96720",-155.0985463,19.71773298
Hawaii,State,Kulani Correctional Facility ,Hilo,Wood and metal furniture; upholstery,"furniture,metal","19.549840, -155.301250",-155.30125,19.54984
Hawaii,State,Waiawa Correctional Facility ,Waipahu,Agribusiness; labor contracts,food,"94-560 Kamehameha Hwy, Waipahu, HI 96797",-157.9980203,21.40774757
Hawaii,State,Women's Community Correctional Center ,Kailua,Sewing; special projects; labor contracts,none,"42-477 Kalanianaole Highway, Kailua, HI 96734",-157.7479385,21.37601337
Idaho,State,Idaho State Correctional Institution ,Kuna,Carpentry; plates; metal; signs; decals,metal,"13500 S Pleasant Valley Rd, Kuna, ID 83634",-116.234114,43.48038108
Idaho,State,South Idaho Correctional Institution,Kuna,Agricultural,food,"13900 S Pleasant Valley Rd, Kuna, ID 83634",-116.2341779,43.47664625
Idaho,State,St. Anthony Work Camp,Anthony,Private sector business,none,"125 N 8th W, St Anthony, ID 83445",-111.6930387,43.96805917
Illinois,State,Centralia Correctional Center,Centralia,Garment shop; mattresses; officer's belts; recycling,"clothing,recycle","9330 Shattuc Road, Centralia, IL 62801",-89.19793722,38.55511512
Illinois,State,Danville Correctional Center,Danville,Banners; custom embroidery; silk-screening; sewing; vehicle decaling; recycling,recycle,"3820 East Main Street, Danville, IL 61834",-87.5381464,40.13304918
Illinois,State,Decatur Correctional Center,Decatur,Garment shop; dog grooming,clothing,"2310 East Mound Road, Decatur, IL 62524",-88.92456471,39.89220724
Illinois,State,Dixon Correctional Center,Dixon,Eyeglasses; law enforcement gas-mask inserts,optical,"2600 N Brinton Ave, Dixon, IL 61021",-89.48635503,41.87367794
Illinois,State,East Moline Correctional Center ,East Moline,Commercial laundry,none,"100 Hillcrest Road, East Moline, IL 61244",-90.42200052,41.53194529
Illinois,State,Graham Correctional Center ,Hillsboro,Office furniture; dorm furniture; specialized woodworking; reupholstering; refinishing,furniture,"12078 Illinois Route 185, Hillsboro, IL 62049",-89.47030671,39.12894052
Illinois,State,Hill Correctional Center,Galesburg,Meat processing; milk processing; juice processing,food,"600 South Linwood Road, Galesburg, IL 61402",-90.40275741,40.94103098
Illinois,State,Illinois River Correctional Center,Canton,Bakery; recycling,"food,recycle","1300 W. Locust Street, Canton, IL 61520",-90.0680678,40.56044267
Illinois,State,Jacksonville Correctional Center,Jacksonville,Sales center; office design; furniture design; laser engraving,"furniture,metal","2268 East Morton Avenue, Jacksonville, IL 62650",-90.18431829,39.72337632
